# {"t_start": 1639658002.6332598, "env_id": "HopperPyBulletEnv-v0"} 
r,l,t
6.571239,8,2.829276
19.408887,22,3.093557
9.510543,6,3.164239
14.280002,29,22.451706
11.607124,9,22.564523
3.557751,9,22.671264
12.614823,11,22.801648
11.775912,5,22.864117
11.343116,5,22.922817
20.382981,9,23.030133
10.457475,8,23.125462
18.929957,10,34.265502
19.055596,13,34.427927
8.216447,5,34.492397
11.060761,10,34.624397
12.28903,6,34.701749
14.628614,9,34.816371
10.645142,12,34.971406
12.037646,20,46.277669
16.04078,10,46.411237
21.804151,23,46.716747
13.83537,5,46.782751
15.940016,9,46.90105
18.411822,12,58.129956
17.063251,6,58.210333
16.946339,19,58.461255
15.934147,7,58.555883
21.888105,20,58.825499
16.304678,5,69.834084
14.186981,6,69.911851
12.673738,6,69.990836
11.944133,5,70.055817
18.609786,7,70.148057
17.179755,11,70.291612
19.249274,14,70.475252
13.169785,5,70.54073
16.279819,9,81.570579
15.803031,7,81.663469
16.517097,6,81.742947
14.829151,5,81.807268
21.187227,10,81.938752
18.850976,13,82.111716
40.416887,31,93.820354
18.36566,9,93.938426
17.30028,10,94.069427
15.920769,7,94.161788
15.845455,9,94.280037
13.347496,5,94.347292
46.138885,30,105.978329
17.606261,7,106.073088
16.072934,6,106.153907
41.754228,30,106.556081
17.360599,9,117.707539
26.443442,17,117.934212
17.544283,6,118.013528
18.269967,8,118.121615
23.524286,17,118.347896
25.081165,27,130.041295
23.145741,13,130.212332
23.144819,12,130.373163
41.830939,38,149.626371
33.591728,23,149.924559
23.774571,12,150.082336
43.587266,32,161.798146
50.866385,35,162.254441
32.010722,21,176.480525
27.036707,19,176.755352
26.670252,20,177.069666
26.355082,16,177.339162
52.245274,34,191.959984
27.718255,38,205.810623
50.289176,33,206.251495
27.161671,21,206.5262
55.539379,42,220.44638
37.570904,27,235.446413
52.856744,32,235.895216
54.512394,36,249.499078
45.618293,33,249.965574
64.128215,46,263.32658
48.933255,36,263.793183
56.334216,35,277.190027
58.665177,41,300.663758
50.34613,32,301.091485
61.258308,39,313.481155
61.494499,40,314.026075
57.839862,41,325.992774
72.977728,47,338.189559
77.172221,51,338.8836
67.163745,45,351.077627
63.835695,41,363.020991
57.685582,38,363.522043
66.038712,41,375.763941
65.009425,42,387.919382
67.212633,40,388.458693
69.285104,44,400.543563
77.225991,59,412.783328
65.919101,39,433.100912
77.896639,59,433.904571
71.093788,45,446.10244
56.115638,44,458.177014
68.456296,47,470.181961
60.491115,50,470.859435
74.554413,53,483.229218
69.455281,49,495.451572
74.515579,52,507.771837
71.842769,58,520.237193
72.192364,48,520.885443
75.196307,50,533.400214
85.982083,59,545.446565
80.898561,56,566.55764
72.957503,58,579.130995
75.84857,54,591.823305
71.300499,53,603.885952
74.415481,57,604.652471
82.920554,58,617.003666
77.058017,50,629.392085
87.715776,60,641.998592
88.535465,59,654.769046
92.215547,59,667.378814
89.294708,61,679.711618
79.184305,59,701.530516
75.382982,58,713.87436
92.56447,63,726.084582
101.046806,64,738.425775
99.785649,68,751.011844
84.014922,59,763.222929
101.047459,71,775.712615
97.814819,66,787.879882
101.648565,64,800.406018
82.882157,58,812.723941
86.431345,58,835.872436
90.626964,59,848.350002
116.926642,75,861.092651
96.626149,62,873.627528
114.466994,72,886.427566
108.141927,69,899.036172
101.940094,65,911.634116
104.694057,67,924.305337
103.147321,67,937.206725
105.566052,71,950.008992
123.45453,81,971.042027
105.620058,67,983.469612
104.114251,68,1007.914553
106.520072,70,1020.349053
99.892021,64,1032.668573
113.391173,76,1045.537141
98.985696,66,1058.063982
115.105811,80,1070.710876
125.280112,81,1083.765439
95.987783,68,1104.759596
119.091265,74,1128.614033
96.406211,73,1141.161258
102.516968,69,1153.740938
115.246352,75,1166.381449
115.72442,80,1179.258614
126.51404,80,1191.890209
128.245879,85,1218.330346
110.409495,69,1239.714277
101.090967,72,1252.911755
101.938493,70,1267.251546
118.521216,78,1280.599475
105.216039,74,1293.754809
107.461604,73,1319.829468
99.551266,71,1333.104831
122.19263,78,1345.386166
122.040215,81,1359.448069
91.373117,72,1382.22469
118.993552,79,1408.076608
109.054186,71,1420.895992
115.700944,79,1434.685897
120.59589,75,1448.174885
117.278734,79,1461.239279
129.335376,84,1485.129086
110.206407,77,1497.906857
124.688055,86,1520.316009
138.27477,94,1547.142575
129.124737,83,1560.824178
125.106841,84,1574.036805
134.806019,86,1599.872687
121.630449,75,1612.874346
120.571958,79,1626.533701
114.077722,71,1640.454183
110.938198,74,1664.626246
